icao,name,lat,lon
00C,"Animas Air Park",37.203178,-107.8691945
00CA,"Goldstone Gts",35.354833,-116.8854165
00F,"Broadus Airport",45.472528,-105.453695
00FL,"River Oak",27.23087972,-80.96923056
00I,"Chapman Memorial Field",40.29457658,-82.731757725
00IL,"Hammer",41.97836333,-89.56038834
00IS,"Hayengas Cant Find Farms",40.025595,-89.12286473
00K,"Redpath Rla",38.18199361,-89.80843501
00KS,"Hayden Farm",38.72778666,-94.93051973
00L,"Lyall-roberts",33.32447833,-116.99030501
00M,"Thigpen Fld",31.9536805,-89.2352775
00MN,"Battle Lake Municipal",46.29996027,-95.70032417
00N,"Bucks",39.47317055,-75.18518473
00NC,"North Raleigh",36.08515027,-78.37138556
00Q,"Thayer Aviation",39.07489388,-121.91774751
00R,"Livingston Muni",30.6858585,-95.017932
00S,"Mc Kenzie Bridge State",44.183174,-122.088661
00TS,"Alpine Range",32.60763555,-97.24195778
00UT,"Clear Creek Ranch",37.2475,-112.822225
00V,"Meadow Lake",38.9481211666667,-104.571195333333
00XS,"L P Askew Farms",33.03342777,-101.93377195
00Y,"Kapaun-wilson Field",45.55051861,-96.45145
01A,"Purkeypile",62.94361083,-152.27001639
01B,"Woodstock",41.92148638,-71.95285084
01C,"Grant",43.34168861,-85.7750475
01FL,"Cedar Knoll Flying Ranch",28.78193611,-81.15922778
01G,"Perry Warsaw",42.74184575,-78.0499425
01H,"Mc Christy",39.64309694,-89.14452612
01I,"August Acres",40.16256277,-82.78184112
01II,"Myers Field",39.88504388,-86.50666667
01J,"Hilliard Airpark",30.6880125,-81.90594389
01K,"Caldwell Municipal",37.03613583,-97.58643834
01KS,"Flying N Ranch",38.54056777,-97.00335
01LA,"Barham",32.63902694,-91.77373612
01LL,"Schumaier Rla",38.12583333,-89.46388889
01M,"Tishomingo Co",34.491667,-88.201111
01MT,"Crystal Lakes Resort",48.7891335,-114.8804225
01NC,"Topsail Airpark",34.47527777,-77.58138889
01NE,"Detour",40.843595425,-100.6513961
01OH,"Gillmor",41.28283083,-83.14797501
01OK,"Lawrence",35.29449944,-98.63645445
01OR,"Red & White Flying Service",43.11930666,-121.04471889
01PN,"Bierly - Personal Use",40.93061694,-77.73888973
01TX,"Mims Farm",32.38764194,-96.87749862
01U,"Duckwater",38.85159972,-115.63364695
01W,"Sawyer",37.99067861,-75.59187112
02A,"Gragg Wade Fld",32.850483,-86.611436
02AK,"Rustic Wilderness",61.87530527,-150.09474001
02C,"Capitol",43.0888991666667,-88.1786558333333
02CO,"Mc Cullough",37.64333472,-106.04697001
02F,"Smith Field",32.73762916,-96.42804056
02G,"Columbiana Co",40.6733165,-80.6414265
02GA,"Doug Bolton Field",34.20260805,-83.42904889
02II,"King",40.06226,-86.21054751
02IL,"Shissler Farm",40.79642611,-89.98594667
02K,"Arrowhead",38.6965739525,-90.5200010375
02KS,"Jmq Landing",39.22221888,-96.05527056
02L,"Five Points Ranch",36.42495138,-120.26542806
02MO,"Troy Airpark",39.05004638,-91.03347473
02NC,"Oakridge Farm",35.17722222,-81.64472223
02ND,"Dresden Field",48.80833694,-98.52373167
02NE,"Benes Service",41.070568985,-96.901598325
02OH,"Zimmerman",41.37644111,-83.08325112
02OI,"Murtha",41.80199916,-80.56535139
02OR,"Rowena Dell",45.68150888,-121.31646139
02T,"Wise River",45.769092,-112.981704
02TX,"Grand Valley Lands",32.23348055,-97.40029445
02V,"Pine View",39.34443277,-104.58108139
02VA,"The Greenhouse",38.43568277,-77.85721639
02W,"Deck Airpark",35.74153972,-78.92473084
02WA,"Cawleys South Prairie",47.15232388,-122.09400278
02WI,"Beer",45.03191111,-92.65575639
02XS,"Seidel Ranch",30.14771305,-97.66277917
02Y,"Greenbush Municipal",48.68330972,-96.19196028
03A,"Southern Aero Sports",34.62512805,-81.89843223
03AZ,"Thompson Intl Aviation",31.43333325,-110.08555775
03B,"Mansfield Muni",37.127639,-92.620972
03CO,"Kugel Strong",40.2125,-104.7444445
03D,"Memphis Mem",40.4472235,-92.2280555
03FD,"Tharpe",30.82879805,-85.73104278
03I,"Clarks Dream Strip",39.64370915,-83.01751141
03II,"Davis Field",37.96198694,-87.77891167
03IL,"Wix",41.40225527,-87.81671334
03KY,"Flying H Farms",37.79170944,-87.54139917
03LL,"Thornton",39.34114777,-88.29143223
03MA,"Hadley",42.39314472,-72.55203223
03MO,"Cahoochie",37.88447888,-93.13158112
03N,"Utirik",11.233333,169.85
03NC,"Pilots Ridge",34.10433833,-77.90416667
03ND,"Olafson Brothers",48.62638277,-97.82898334
03NE,"Hyde Ranch",41.54639638,-99.33121306
03NY,"Talmage Fld",40.95843166,-72.716765
03OH,"Gibbs Field",41.41838527,-83.01741612
03OK,"Sahoma Lake",36.04119722,-96.16138889
03OR,"Powwatka Ridge",45.85542194,-117.48434417
03Q,"Bottimore Ranch",38.30408027,-121.25105862
03S,"Sandy River",45.40178694,-122.22869778
03T,"Gay Hill Farm",30.2627125,-96.50024612
03VA,"Whipoorwill Springs",38.66456333,-77.57971112
03WA,"Spangle Field",47.40822694,-117.37186362
03WI,"Zink",44.02748083,-88.88094639
04A,"Frank Sikes",31.7362665,-86.2624605
04CA,"Gray Butte Fld",34.5638885,-117.675
04D,"Ceres",42.00839888,-78.25806862
04F,"De Leon Municipal",32.09875222,-98.52532639
04FD,"Hall Farm",29.91995277,-82.90262667
04FL,"Cross Creek Farms",29.23942472,-81.222005
04G,"Lansdowne",41.130478,-80.6195805
04H,"Herren",40.0881025,-90.88541028
04I,"Columbus Southwest",39.91127463,-83.188758085
04II,"Turkey Run",41.13060444,-84.99413417
04IL,"Schertz",40.63753527,-89.00701889
04IS,"Van Gorder",40.17864472,-88.5689525
04KY,"Natchez Trace Farm",37.13505361,-85.78941556
04L,"Conover Air Lodge",34.76109194,-119.05899306
04LA,"Loggy Bayou Plantation",32.27321277,-93.40600584
04LL,"Brunner",42.13613583,-88.28758139
04M,"Calhoun Co",33.9301115,-89.342853
